loop-location,icc-parallel,omp,icc-labels,loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,loop-critical-payload-fraction,loop-depth,loop-inner-loop-num,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,iterator-payload-mem-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,critical-payload-mem-cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,payload-output-dependencies-number,payload-cross-dependencies-number,payload-reg-dependencies-number,payload-mem-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number,critical-payload-output-dependencies-number,critical-payload-cross-dependencies-number,critical-payload-reg-dependencies-number,critical-payload-mem-dependencies-number,iterator-mem-write-count,iterator-mem-write-fraction,iterator-call-count,iterator-call-fraction,payload-mem-write-count,payload-mem-write-fraction,payload-call-count,payload-call-fraction,critical-payload-mem-write-count,critical-payload-mem-write-fraction,critical-payload-call-count,critical-payload-call-fraction
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/bt.c(137),0,0,0,4,0.25,0,0,1,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333,1,0.3333,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(80),1,0,1,32,0.875,2,0.3571,1,1,0.2329,0.05479,0,0.3333,0.1667,0.08333,48,24,2,2,0,22,8,16,10,0,1,0,9,3,0,0,0,0,3,0.1071,1,0.03571,1,0.1,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(81),1,0,1,18,0.7778,1,0.4286,2,0,0.4054,0.02703,0,0.2143,0.2143,0,14,12,0,1,0,11,3,8,6,0,1,0,5,3,0,0,0,0,1,0.07143,0,0,1,0.1667,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(74),1,0,1,14,0.7143,1,0.3,1,0,0.4138,0.06897,0,0.3333,0.3333,0,9,9,0,0,0,8,1,3,3,0,0,0,2,1,0,0,0,0,1,0.1,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(59),1,1,0,65,0.9077,4,0.322,1,3,0.09091,0.01399,0,0.3814,0.09322,0,118,56,0,1,0,55,2,36,19,0,1,0,18,2,0,0,0,0,2,0.0339,1,0.01695,1,0.05263,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(61),0,0,0,53,0.8868,3,0.2766,2,2,0.113,0.01739,0,0.4111,0.1,0,90,45,0,1,0,44,2,24,13,0,1,0,12,2,0,0,0,0,2,0.04255,1,0.02128,1,0.07692,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(63),0,0,0,41,0.8537,2,0.2,3,1,0.1494,0.02299,0,0.4355,0.1129,0,62,34,0,1,0,33,2,12,7,0,1,0,6,2,0,0,0,0,2,0.05714,1,0.02857,1,0.1429,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(67),1,0,1,27,0.8519,0,0,4,0,0.4655,0.06897,0,0,0,0,23,21,1,1,0,21,2,0,0,0,0,0,0,0,0,0,0,0,1,0.04348,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(55),1,0,1,9,0.5556,0,0,1,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(48),1,0,1,9,0.5556,0,0,1,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(122),1,0,1,32,0.875,2,0.3571,1,1,0.2329,0.05479,0,0.3333,0.1667,0.08333,48,24,2,2,0,22,8,16,10,0,1,0,9,3,0,0,0,0,3,0.1071,1,0.03571,1,0.1,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(123),1,0,1,18,0.7778,1,0.4286,2,0,0.4054,0.02703,0,0.2143,0.2143,0,14,12,0,1,0,11,3,8,6,0,1,0,5,3,0,0,0,0,1,0.07143,0,0,1,0.1667,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(116),1,0,1,14,0.7143,1,0.3,1,0,0.4138,0.06897,0,0.3333,0.3333,0,9,9,0,0,0,8,1,3,3,0,0,0,2,1,0,0,0,0,1,0.1,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(106),1,1,0,50,0.88,4,0.4318,1,3,0.08182,0.009091,0,0.3371,0.08989,0,89,39,0,1,0,38,2,36,19,0,1,0,18,2,0,0,0,0,1,0.02273,0,0,1,0.05263,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(107),0,0,0,41,0.8537,3,0.3714,2,2,0.1011,0.01124,0,0.3824,0.1029,0,68,32,0,1,0,31,2,24,13,0,1,0,12,2,0,0,0,0,1,0.02857,0,0,1,0.07692,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(108),0,0,0,32,0.8125,2,0.2692,3,1,0.1029,0.01471,0,0.449,0.1224,0,49,25,0,1,0,24,2,12,7,0,1,0,6,2,0,0,0,0,1,0.03846,0,0,1,0.1429,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(109),1,0,1,23,0.8261,1,0.1579,4,0,0.449,0.06122,0,0.1579,0.1579,0,19,18,0,1,0,17,2,4,3,0,1,0,2,2,0,0,0,0,1,0.05263,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(102),1,0,1,9,0.5556,0,0,1,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/error.c(95),1,0,1,9,0.5556,0,0,1,0,0.375,0.0625,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(355),1,1,1,52,0.8846,4,0.413,1,3,0.08696,0.01739,0,0.3441,0.08602,0,93,41,0,1,0,40,2,36,19,0,1,0,18,2,0,0,0,0,1,0.02174,0,0,1,0.05263,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(356),1,0,1,43,0.8605,3,0.3514,2,2,0.1075,0.02151,0,0.3803,0.08451,0,71,33,0,1,0,32,2,24,13,0,1,0,12,2,0,0,0,0,1,0.02703,0,0,1,0.07692,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(357),1,0,1,34,0.8235,2,0.25,3,1,0.1127,0.02817,0,0.4314,0.07843,0,51,25,0,1,0,24,2,12,7,0,1,0,6,2,0,0,0,0,1,0.03571,0,0,1,0.1429,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(358),1,0,1,25,0.84,1,0.1429,4,0,0.451,0.03922,0,0.1,0.1,0,20,19,0,1,0,18,2,4,3,0,1,0,2,2,0,0,0,0,1,0.04762,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(258),1,1,0,843,0.9929,13,0.1016,1,9,0.01536,0.01008,0,0.4828,0.1172,0.04363,2040,1067,61,51,0,948,231,161,94,9,14,0,71,46,0,0,0,0,16,0.01912,1,0.001195,8,0.09412,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(260),0,0,0,831,0.9928,12,0.09455,2,8,0.02553,0.01031,0,0.484,0.1105,0.04612,1973,1037,61,51,0,918,231,149,88,9,14,0,65,46,0,0,0,0,16,0.01939,1,0.001212,8,0.1026,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(263),0,0,0,119,0.9496,2,0.0708,3,2,0.4007,0.06985,0,0.1656,0.02649,0,151,116,0,6,1,103,19,16,8,0,0,0,8,0,0,0,0,0,6,0.0531,1,0.00885,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(283),1,0,1,424,0.9858,2,0.02153,3,0,0.4804,0.02505,0,0.01935,0.01935,0,465,457,3,5,0,455,10,11,9,0,2,0,7,4,0,0,0,0,5,0.01196,0,0,2,0.2222,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(320),1,0,1,98,0.9592,1,0.03191,3,0,0.5,0.05238,0,0.06186,0.06186,0.03093,97,92,2,3,0,90,7,4,3,0,1,0,2,2,0,0,0,0,2,0.02128,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(330),1,0,1,72,0.9167,2,0.1061,3,1,0.0828,0.04459,0,0.5,0.07576,0,132,68,0,1,0,67,2,12,7,0,1,0,6,2,0,0,0,0,1,0.01515,0,0,1,0.1429,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(338),1,0,1,102,0.9608,2,0.06122,3,0,0.4802,0.04846,0,0.05455,0.05455,0,110,106,1,3,0,103,7,8,6,0,2,0,4,4,0,0,0,0,2,0.02041,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(267),1,0,1,14,0.7143,0,0,4,0,0.4286,0.07143,0,0,0,0,8,7,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(273),1,0,1,15,0.7333,0,0,4,0,0.4333,0.06667,0,0,0,0,9,8,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0.09091,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(331),1,0,1,63,0.9365,0,0,4,0,0.5,0.05303,0,0,0,0,58,56,1,1,0,56,2,0,0,0,0,0,0,0,0,0,0,0,1,0.01695,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(162),1,1,0,843,0.9929,11,0.0908,1,9,0.01536,0.01008,0,0.451,0.08088,0.01471,2040,1072,56,51,0,948,231,173,99,7,23,0,68,61,0,0,0,0,16,0.01912,1,0.001195,8,0.1053,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(164),0,0,0,831,0.9928,11,0.08485,2,8,0.02553,0.01031,0,0.4506,0.07299,0.01521,1973,1033,65,51,3,918,231,149,80,12,19,0,62,49,0,0,0,0,16,0.01939,1,0.001212,8,0.1143,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(167),0,0,0,119,0.9496,2,0.0708,3,2,0.4007,0.06985,0,0.1656,0.02649,0,151,107,9,6,1,103,19,16,8,0,0,0,8,0,0,0,0,0,6,0.0531,1,0.00885,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(187),1,0,1,424,0.9858,4,0.05024,3,0,0.4804,0.02505,0,0.04516,0.04516,0,465,459,1,5,0,455,10,25,21,0,4,0,17,8,0,0,0,0,5,0.01196,0,0,4,0.1905,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(224),1,0,1,98,0.9592,1,0.03191,3,0,0.5,0.05238,0,0.06186,0.06186,0.03093,97,92,2,3,0,90,7,4,3,0,1,0,2,2,0,0,0,0,2,0.02128,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(234),1,0,1,72,0.9167,2,0.1061,3,1,0.0828,0.04459,0,0.5,0.07576,0,132,68,0,1,0,67,2,12,7,0,1,0,6,2,0,0,0,0,1,0.01515,0,0,1,0.1429,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(242),1,0,1,102,0.9608,2,0.06122,3,0,0.4802,0.04846,0,0.05455,0.05455,0,110,106,1,3,0,103,7,8,6,0,2,0,4,4,0,0,0,0,2,0.02041,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(171),1,0,1,14,0.7143,0,0,4,0,0.4286,0.07143,0,0,0,0,8,7,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(177),1,0,1,15,0.7333,0,0,4,0,0.4333,0.06667,0,0,0,0,9,8,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0.09091,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(235),1,0,1,63,0.9365,1,0.05085,4,0,0.5,0.05303,0,0.05172,0.05172,0,58,57,0,1,0,56,2,4,3,0,1,0,2,2,0,0,0,0,1,0.01695,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(66),1,1,0,843,0.9929,13,0.07766,1,9,0.01536,0.01008,0,0.4632,0.08775,0.02598,2040,1051,77,51,0,948,231,126,69,0,13,0,58,24,0,0,0,0,16,0.01912,1,0.001195,7,0.1077,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(68),0,0,0,831,0.9928,11,0.07394,2,8,0.02553,0.01031,0,0.4607,0.07856,0.02484,1973,1026,72,51,0,918,231,131,68,8,17,0,54,39,0,0,0,0,16,0.01939,1,0.001212,7,0.1148,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(71),0,0,0,119,0.9496,3,0.115,3,2,0.4007,0.06985,0,0.2517,0.1192,0.05298,151,108,8,6,1,103,19,23,12,0,3,1,11,4,0,0,0,0,6,0.0531,1,0.00885,2,0.1538,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(91),1,0,1,424,0.9858,3,0.03349,3,0,0.4804,0.02505,0,0.03011,0.03011,0,465,458,2,5,0,455,10,17,14,0,3,0,11,6,0,0,0,0,5,0.01196,0,0,3,0.2143,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(128),1,0,1,98,0.9592,1,0.03191,3,0,0.5,0.05238,0,0.06186,0.06186,0.03093,97,92,2,3,3,90,7,4,3,0,1,0,2,2,0,0,0,0,2,0.02128,0,0,1,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(138),1,0,1,72,0.9167,2,0.1061,3,1,0.0828,0.04459,0,0.5,0.07576,0,132,68,0,1,0,67,2,12,7,0,1,0,6,2,0,0,0,0,1,0.01515,0,0,1,0.1429,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(146),1,0,1,102,0.9608,2,0.06122,3,0,0.4802,0.04846,0,0.05455,0.05455,0,110,106,1,3,0,103,7,8,6,0,2,0,4,4,0,0,0,0,2,0.02041,0,0,2,0.3333,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(75),1,0,1,14,0.7143,0,0,4,0,0.4286,0.07143,0,0,0,0,8,7,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(81),1,0,1,15,0.7333,0,0,4,0,0.4333,0.06667,0,0,0,0,9,8,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0.09091,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(139),1,0,1,63,0.9365,0,0,4,0,0.5,0.05303,0,0,0,0,58,56,1,1,0,56,2,0,0,0,0,0,0,0,0,0,0,0,1,0.01695,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(52),1,1,1,42,0.8571,3,0.4444,1,3,0.1,0.01111,0,0.2899,0.04348,0,69,27,0,1,0,27,1,32,16,0,0,0,16,0,0,0,0,0,1,0.02778,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(53),1,0,1,33,0.8182,2,0.3704,2,2,0.1304,0.01449,0,0.3333,0.04167,0,48,20,0,1,0,20,1,20,10,0,0,0,10,0,0,0,0,0,1,0.03704,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_rhs.c(54),1,0,1,24,0.75,1,0.2222,3,1,0.1458,0.02083,0,0.4138,0.03448,0,29,13,0,1,0,13,1,8,4,0,0,0,4,0,0,0,0,0,1,0.05556,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/exact_solution.c(44),0,0,0,85,0.9529,1,0.4691,1,0,0.4897,0.07216,0,0.1538,0.1538,0,91,78,0,0,0,78,13,50,37,0,0,0,37,13,0,0,0,0,1,0.01235,0,0,1,0.02632,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(197),1,1,0,44,0.8636,2,0.2632,1,2,0.1398,0.02151,0,0.3824,0.05882,0,68,32,0,1,0,32,1,20,10,0,0,0,10,0,0,0,0,0,2,0.05263,1,0.02632,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(199),0,0,0,32,0.8125,1,0.1538,2,1,0.2,0.03077,0,0.4,0.05,0,40,21,0,1,0,21,1,8,4,0,0,0,4,0,0,0,0,0,2,0.07692,1,0.03846,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(202),1,0,1,18,0.7778,0,0,3,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(180),1,1,0,44,0.8636,2,0.2632,1,2,0.1398,0.02151,0,0.3824,0.05882,0,68,32,0,1,0,32,1,20,10,0,0,0,10,0,0,0,0,0,2,0.05263,1,0.02632,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(182),0,0,0,32,0.8125,1,0.1538,2,1,0.2,0.03077,0,0.4,0.05,0,40,21,0,1,0,21,1,8,4,0,0,0,4,0,0,0,0,0,2,0.07692,1,0.03846,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(185),1,0,1,18,0.7778,0,0,3,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(163),1,1,0,44,0.8636,2,0.2632,1,2,0.1398,0.02151,0,0.3824,0.05882,0,68,32,0,1,0,32,1,20,10,0,0,0,10,0,0,0,0,0,2,0.05263,1,0.02632,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(165),0,0,0,32,0.8125,1,0.1538,2,1,0.2,0.03077,0,0.4,0.05,0,40,21,0,1,0,21,1,8,4,0,0,0,4,0,0,0,0,0,2,0.07692,1,0.03846,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(168),1,0,1,18,0.7778,0,0,3,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(146),1,1,0,44,0.8636,2,0.2632,1,2,0.1398,0.02151,0,0.3824,0.05882,0,68,32,0,1,0,32,1,20,10,0,0,0,10,0,0,0,0,0,2,0.05263,1,0.02632,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(148),0,0,0,32,0.8125,1,0.1538,2,1,0.2,0.03077,0,0.4,0.05,0,40,21,0,1,0,21,1,8,4,0,0,0,4,0,0,0,0,0,2,0.07692,1,0.03846,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(151),1,0,1,18,0.7778,0,0,3,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(129),1,1,0,44,0.8636,2,0.2632,1,2,0.1398,0.02151,0,0.3824,0.05882,0,68,32,0,1,0,32,1,20,10,0,0,0,10,0,0,0,0,0,2,0.05263,1,0.02632,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(131),0,0,0,32,0.8125,1,0.1538,2,1,0.2,0.03077,0,0.4,0.05,0,40,21,0,1,0,21,1,8,4,0,0,0,4,0,0,0,0,0,2,0.07692,1,0.03846,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(134),1,0,1,18,0.7778,0,0,3,0,0.4444,0.05556,0,0,0,0,12,11,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0.07143,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(112),1,1,0,44,0.8636,2,0.2632,1,2,0.1398,0.02151,0,0.3824,0.05882,0,68,32,0,1,0,32,1,20,10,0,0,0,10,0,0,0,0,0,2,0.05263,1,0.02632,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(114),0,0,0,32,0.8125,1,0.1538,2,1,0.2,0.03077,0,0.4,0.05,0,40,21,0,1,0,21,1,8,4,0,0,0,4,0,0,0,0,0,2,0.07692,1,0.03846,0,0,0,0
